,ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
GO:0097113,BP,AMPA glutamate receptor clustering,9,8,0.000415695,1,DLG4;NLGN1;SLC7A11;APOE;SHISA6;SSH1;SHISA7;SHANK3
GO:0097688,BP,glutamate receptor clustering,9,8,0.000415695,1,DLG4;NLGN1;SLC7A11;APOE;SHISA6;SSH1;SHISA7;SHANK3
GO:0044794,BP,positive regulation by host of viral process,13,9,0.000620151,1,CFL1;TBC1D20;STOM;APOE;IGF2R;PC;YTHDC2;CAV2;ZNF502
GO:0072683,BP,T cell extravasation,10,7,0.000659246,1,RIPK3;CRKL;ICAM1;ITGAL;F11R;CCR2;FADD
GO:0097435,BP,supramolecular fiber organization,705,227,0.000808312,1,USH1C;ARPC4;ARPC2;AKAP9;SORBS3;TENM1;CDKN1B;KATNB1;DLC1;BAIAP2;PFDN6;NEBL;ARFGEF1;SORBS1;CDC42EP3;CFL1;NCKAP1;WASF3;TUBGCP2;FERMT2;RIPK3;TPPP;TRIOBP;CORO1A;FAM107A;AKAP13;PARK7;SYNPO;ARAP1;SLAIN1;TPPP2;CCR7;KIF19;COL1A1;COL2A1;COL5A1;COL11A1;COL11A2;COL13A1;SHROOM1;RFLNA;CSNK1D;TTBK2;CSRP1;CCDC13;CEP120;CYP1B1;DAPK3;AEBP1;XIRP1;DIAPH1;DLG1;EMP2;CTTN;C9orf72;DMTN;EXT1;PTK2B;PHACTR1;ALDOA;PPM1E;RUFY3;MSRB2;TPX2;LIMCH1;MPRIP;KANK1;CYFIP1;COBL;CLASP1;COTL1;EML2;SPEF1;IFT172;GHSR;CYFIP2;CCDC57;GPX1;RGCC;CTNNA3;GSN;ANXA2;HCK;HIP1;HSPA1A;APOA1;ICAM1;FMN1;NCKAP5;APOE;ILK;INPPL1;ITGB5;JAK2;KRT8;RHOB;RHOC;LDLR;STMND1;ARL2;LTBP3;TACSTD2;MAP1B;MAPT;MDM2;MET;MMP11;MZT1;CCDC88C;MYO1F;MYO1C;MYO1E;MYO6;MYO7B;NCK1;NEB;NEDD9;NEFM;NF1;FURIN;PAFAH1B1;COL5A3;PAK1;PRKN;HDGFL3;F11R;VILL;STMN3;SHANK1;NIN;HOOK1;PDGFRA;TPPP3;PIK3R1;PLEC;SSH1;NDE1;ARHGEF10L;MAP1S;CARMIL1;ENAH;PRKCE;CENPJ;BIN3;MYO5C;BAIAP2L1;PSEN1;SPIRE1;PTGER4;ERMN;MICAL3;CEP126;PREX1;CAMSAP3;SHTN1;SPTBN4;PXN;RB1;TRPV4;TRIM27;RGS4;VIPAS39;SFRP1;PLEKHG2;BMP1;SLC9A1;DST;SPTB;SRC;SVIL;TBCD;TCHH;TLL2;ACTG1;TNNT3;TNXB;TPM3;TPM4;HSP90B1;COL14A1;VASP;WIPF1;CLIP2;ALMS1;FSD1;CLIP4;ARHGAP28;SYNPO2L;ANKRD53;FHOD3;DIAPH3;CAPN3;CAPZA1;CAPZA2;CAPZB;LOXL4;BFSP2;SPATC1L;SPIRE2;CUL3;LOXL3;SORBS2;CORO6;CGNL1;PPFIA1;GAS7;SHANK3;TUBGCP6;SSH2;SCIN;ACTN1;ACTN2;ARHGEF7;BMERB1;SEMA5A;PSTPIP2;MCU;PDLIM1;MYADM;MYOM2;ARHGAP12;CD36;ADAMTS3;ADAMTS2;BAG4;BCAR1;CD47;ARHGEF10;MICAL2;MTSS1;ELMO1;RHOBTB1;CDC42
GO:0007417,BP,central nervous system development,973,308,0.000914734,1,BCL2L11;COX17;CDH11;CDK6;DLC1;ADARB1;BAIAP2;TACC3;SEMA6B;ANP32B;TACC2;CENPF;IGF2BP1;LBX1;NCKAP1;WASF3;FRS2;TUBGCP2;SLC38A3;VAX1;TPPP;PADI2;CKB;DBX1;FOXN4;SEZ6;CNP;CNTN1;COL2A1;COL4A1;CLDN3;CRKL;HAPLN1;CSK;CSNK1D;HAPLN3;TTBK2;NCAN;RTN4RL1;CTNS;GDF7;CNTN4;DAB2IP;CEP120;AK8;DAB1;DCC;ABAT;ATN1;E2F1;EGFR;EGR2;ABCA2;EML1;EPHB2;AK4;EPHB6;AKT1;ETS1;EXT1;ACSL3;BPTF;PHACTR1;FGF8;ZNF365;MAST1;NCOA6;FOXO3;ZNF423;KDM6B;SATB2;SZT2;SUN1;DAAM2;PLXNB2;SLC7A11;ALK;FYN;XRCC6;GABRA5;GABRB1;WHRN;SIN3A;TSKU;C2CD3;TENM4;CNTNAP2;IFT172;PHGDH;MDGA1;GDNF;GHRHR;DISC1;GLI3;HTRA2;GNAO1;GRIK1;GRIN1;GRIN2A;GRIN2B;GSN;GSTP1;RAX;NRG1;HMGCS1;HMX2;APAF1;CCDC85C;HOXA2;HOXB1;HOXB2;HOXB3;HOXB8;HSP90AA1;APLP1;HSPG2;HTR6;ATXN1L;ISL1;JARID2;KCNA1;DRAXIN;NRROS;KCNJ10;KIF5B;KRAS;LDLR;ASIC2;LMX1A;PHOX2A;LRP1;LYN;ARRB2;MAPT;MBP;ZFHX3;ATIC;RERE;NF1;NGFR;ATP1B2;NKX2-2;NNAT;NODAL;NPAS1;NPAS2;NTRK3;ROR2;ATP2B4;OGDH;OTX1;OXCT1;PAFAH1B1;PAK1;PRKN;PAX2;PAX5;PBX1;PBX3;PCDH9;TMX2;LEF1;NIN;PFKFB3;ATP5PF;PITX3;SHC3;PLXNA2;SNTG2;POU1F1;PCDH18;POU3F2;DLL4;KIF1A;HYDIN;NDE1;ODAD2;ELP3;MAP1S;MACO1;PPP3CA;SCYL2;PRKG1;MAPK1;GNG12;PDGFC;PSEN1;BARHL1;MEIS3;CA10;UTP3;ZMIZ1;BAD;PTCH1;NDRG2;DHX37;ZSWIM6;SPTBN4;GRHL3;PTPRG;PTPRS;PTPRZ1;RARB;RGS4;RHEB;HAPLN2;ROBO1;RORA;S100A1;S100A9;S100B;ATXN1;SCTR;BCAN;NEUROD6;SELENOP;SFRP1;TRA2B;CHST8;BMI1;ISL2;SIX1;SKI;BMP4;SLC8A1;SLC8A3;SLIT1;SOS1;SOX12;SPOCK1;SRC;SRD5A1;BRCA2;STAR;STK3;SYT1;TACC1;TAL1;TAL2;TBX1;CNTN2;TFAP2A;NR2F2;TIMP4;NR2E1;TNF;TP53;TP73;C3;TRIO;UBE3A;UGT8;TRPV1;MYRF;WNT7A;WNT7B;WNT2B;WRN;ZIC1;ZBTB16;BTG2;PAX8;BAG6;THOC6;NDNF;DYNC2H1;SPEF2;WLS;SEMA6D;CALM1;LHX3;CALM2;AKNA;PBX4;TMEM14B;CASP2;TRAPPC9;B3GNT5;ZIC4;POMK;KIRREL3;TTBK1;GLIS2;KDM2B;LOXL3;AGBL4;CNTNAP1;ITGA8;SHANK3;KNDC1;DIXDC1;SCIN;B4GALT2;EED;ALDH1A2;LDB1;SYNJ2;WNT3A;NAV2;BMERB1;KALRN;SEMA5A;ACVR1B;SYNGR3;NEURL1;PLXNA4;DLG5;NUMBL;DNER;OPALIN;LHX2;FOXP2;BAG3;NR1D1;PITPNM1;CELSR1;AATK;TOX;CDC42;CDH1
GO:0007229,BP,integrin-mediated signaling pathway,104,45,0.001103901,1,CDH17;ADAM10;FERMT2;COL16A1;EMP2;DMTN;PTK2B;ITGA11;FN1;FUT8;FYB1;LAT;HCK;APOA1;ILK;ITGA7;ITGA9;ITGAE;ITGAL;ITGAV;ITGAX;ITGB2;ITGB4;ITGB5;LAMA3;LIMS1;MYH9;NEDD9;NME2;FERMT1;LIMS2;RCC2;PTK2;PHACTR4;DST;SRC;TEC;THY1;MPIG6B;CCM2;CUL3;LOXL3;ITGA8;BCAR1;CD47;CDC42
GO:0048706,BP,embryonic skeletal system development,119,49,0.001430842,1,OSR2;COL1A1;COL2A1;COL11A1;DLG1;MEGF8;EXT1;FGF8;SULF1;SATB2;MTHFD1L;SLC39A1;GLI3;HOXA2;HOXA3;HOXA4;HOXA7;HOXB1;HOXB2;HOXB3;HOXB5;HOXB6;HOXB8;HOXC4;SMAD2;MMP14;MTHFD1;NODAL;CHST11;PAX5;PBX1;PDGFRA;MBTD1;DYNC2I1;SULF2;KIAA1217;NKX3-2;XYLT1;SHOX2;BMI1;SIX1;BMP4;TBX1;TFAP2A;WNT9A;PCGF2;FUZ;RUNX2;ACVR2A;IFT140
GO:0044788,BP,modulation by host of viral process,26,13,0.001446903,1,CFL1;TBC1D20;CRP;STOM;APCS;APOE;IGF2R;PRKN;PC;YTHDC2;ZC3H12A;CAV2;ZNF502
GO:0048705,BP,skeletal system morphogenesis,217,81,0.001449251,1,FOXN3;OSR2;COL1A1;COL2A1;COL11A1;COL13A1;RIPPLY2;RFLNA;FREM1;PHOSPHO1;DLG1;MEGF8;EXT1;FGF4;FGF8;FGFR1;SATB2;ALPL;MTHFD1L;TIPARP;TSKU;GHR;SLC39A1;GLI3;ANKRD11;HOXA2;HOXA3;HOXA4;HOXA7;HOXB1;HOXB2;HOXB3;HOXB5;HOXB6;HOXB8;HOXC4;FMN1;INPPL1;IFITM5;LRP5;LTBP3;SMAD2;MMP2;MMP14;MTHFD1;NAB1;NODAL;ROR2;CHST11;PAX5;PDGFRA;WWOX;DYNC2I1;SMPD3;PSEN1;NKX3-2;RARB;TRPV4;PAPPA2;SFRP1;HHIP;SHOX2;BMI1;BMP1;SIX1;SKI;BMP4;BMP6;SOX5;TBX1;TEK;TFAP2A;THRA;WNT7A;PCGF2;SPEF2;FUZ;RAB33B;ARID5B;RUNX2;TBX4;IFT140
GO:0010810,BP,regulation of cell-substrate adhesion,213,80,0.001498986,1,ARPC2;CDH13;CDK6;DLC1;PDPN;FERMT2;TRIOBP;FAM107A;CCR7;COL1A1;COL16A1;COL26A1;CRKL;DAPK3;EFNA5;UNC13D;EMP2;DMTN;PTK2B;FBLN1;LIMCH1;KANK1;CLASP1;FN1;MACF1;DISC1;HOXA7;APOA1;FMN1;ILK;JAK2;JUP;VWC2;LGALS1;LIMS1;ARL2;LRP1;TACSTD2;MMP14;NEDD9;NF1;NID1;NPY2R;P4HB;WDPCP;PDGFB;PIK3R1;PKHD1;CARMIL1;FERMT1;LIMS2;PRKCE;PRKCZ;RCC2;AJAP1;CCL28;PTK2;PREX1;CAMSAP3;PLEKHA2;SFRP1;SLC9A1;SPOCK1;SRC;TBCD;TEK;THY1;ACTG1;GFUS;UTRN;VCL;DDR1;NDNF;ACTN4;LDB1;ARHGEF7;MYADM;MAP4K4;CD36;ONECUT2;CDC42
GO:0007010,BP,cytoskeleton organization,1359,405,0.002013829,1,PARP3;USH1C;ARPC4;ARPC2;AKAP9;CDK2;SORBS3;TENM1;TXNDC9;SPRY1;CDK2AP2;CDKN1B;KATNB1;TUBB3;DLC1;BAIAP2;TACC3;CAP2;CAP1;NEBL;ARFGEF1;TACC2;SORBS1;CDC42EP3;SPAG5;CFL1;NEK6;NCKAP1;WASF3;TUBGCP2;FERMT2;RCC1;TPPP;TRIOBP;CIT;CORO1A;FAM107A;NISCH;CEP250;CHEK2;AKAP13;PACSIN2;GABARAP;SYNPO;FMNL2;HAUS1;ODAD3;PHACTR3;CNTROB;ARAP1;PARD3B;C10orf90;PDZD8;SLAIN1;TPPP2;CCR7;KIF19;CNP;SHROOM1;CLDN3;NEK7;RFLNA;CSNK1D;TTBK2;CSRP1;DNAAF8;CCDC13;CEP120;SAXO1;DAPK3;ANKFN1;DAW1;XIRP1;DIAPH1;DLG1;EFNA5;EML1;EMP2;CTTN;TUBB;C9orf72;EPB41L2;EPB42;DMTN;PTK2B;PHACTR1;MAPK15;ALDOA;PPM1E;NLGN1;RUFY3;MSRB2;TPX2;NINL;MAST1;CEP131;LIMCH1;MAST3;SIPA1L3;CUL9;MPRIP;FLNB;ABRAXAS2;PHLDB1;KANK1;CYFIP1;COBL;MTCL1;CLASP1;SUN1;SIK3;PIP5K1C;COTL1;MACF1;DAAM2;DNAAF11;EML2;HEPACAM2;GAB1;EML3;FRMD3;SPEF1;RNF19A;C2CD3;SIPA1L1;AUTS2;CCDC69;IFT172;NPHP4;GHSR;CYFIP2;ATP2C1;DISC1;EML4;CCDC57;CFAP97D1;ANK1;ANK3;RGCC;CTNNA3;RACGAP1;GSN;HCK;EHD2;HIP1;HLA-DRB1;HRAS;HSPA1A;APOA1;ICAM1;FMN1;NCKAP5;APOE;DNAAF3;ILK;INCENP;INPPL1;ITGB5;JAK2;DNAJB13;MAST4;AGRN;KIFC1;KIF25;KRAS;KRT4;KRT6B;KRT8;RHOB;KRT31;RHOC;ABLIM1;MYO18A;STMND1;ARL2;LRP1;TACSTD2;MAP1B;MAP4;MAPT;MET;MKLN1;MLH1;IQSEC3;MZT1;CCDC88C;TTLL13P;MYO1F;TRIM37;MYH9;MYO1C;MYO1E;MYO6;MYO7B;PPP1R12A;NCK1;NEB;NEDD9;NEFM;NF1;NPM1;NTRK3;ODF2;WRAP73;PAFAH1B1;PAK1;PALM;PRKN;HDGFL3;F11R;VILL;STMN3;SHANK1;WDPCP;PCNT;NIN;HOOK1;CHMP5;NCKIPSD;PDGFRA;TPPP3;ATP8A2;PEX14;PIK3R1;PKHD1;PLD2;PLEC;SSH1;CCSER2;EPB41L4B;INO80;HYDIN;NDE1;LRRC49;PPL;TTC12;ODAD2;FIGN;ARHGEF10L;MAP1S;CARMIL1;PRKAA2;PRPF40A;MAP7D1;INTS13;ENAH;PARVA;FGD6;PRKCE;SPATA7;CENPJ;PRKCZ;BIN3;PRKG1;MYO5C;MAPK1;NSFL1C;BAIAP2L1;PARD3;PRPH;BCCIP;SPIRE1;PTGER4;STRIP2;PTK2;ERMN;STARD9;CC2D2A;MICAL3;SEMA6A;CEP126;PREX1;CAMSAP3;SHTN1;SPTBN4;GRHL3;NECTIN2;PXN;RHOU;RALA;RAN;RANBP1;TRPV4;TRIM27;RGS4;AFAP1;RP1;S100A9;SFRP1;ARAP3;INF2;PLEKHG2;SLC9A1;PHACTR4;DST;SPTB;SRC;BRCA2;AURKA;SVIL;TACC1;CNTN2;TBCD;TEK;TCHH;THY1;ACTG1;TNF;TNNT3;TNXB;TPM3;TPM4;TPR;HSP90B1;TRPM2;UGT8;UTRN;UVRAG;VASP;WIPF1;CLIP2;XRCC3;CFAP410;ALMS1;FSD1;SPAG16;CLIP4;KATNBL1;DNAI4;ARHGAP28;BORA;MAP9;SPEF2;SYNPO2L;ANKRD53;CCDC170;FHOD3;CEP70;THSD7B;ACTN4;RSPH6A;DIAPH3;CAPN2;CAPN3;CAPZA1;CAPZA2;CAPZB;TLN2;KATNAL1;DTNBP1;RAB6C;ABRAXAS1;ANTXR1;BFSP2;SPATC1L;IQCG;ABLIM2;SPIRE2;CUL3;SORBS2;CORO6;CGNL1;FRMD5;PPFIA1;CNTNAP1;GAS7;SHANK3;TUBGCP6;DIXDC1;CEP295;SSH2;SCIN;DNAH17;TNKS;ACTN1;ACTN2;ARHGEF7;WNT3A;NAV1;FGD3;BMERB1;LIMD1;BRSK2;SEMA5A;PSTPIP2;MAP7;MCU;KIFC2;FMNL3;PDLIM1;SMC3;NEURL1;MYADM;MYOM2;ZW10;TPGS1;SPECC1;DRC1;TRIP10;KIF3B;ARHGAP12;RP1L1;VPS4B;BAG4;BCAR1;CDC42BPB;CD47;CELSR1;ARHGEF10;MICAL2;TTLL4;DLGAP5;MTSS1;CUL7;ARHGEF11;ELMO1;RHOBTB1;IQSEC1;CDC42
GO:0022604,BP,regulation of cell morphogenesis,295,107,0.00221021,1,DNM1L;ARPC2;DLC1;BAIAP2;CDC42EP3;PDPN;CFL1;WASF3;FERMT2;TRIOBP;BVES;CORO1A;FMNL2;ARAP1;PDZD8;CLDN3;CRKL;CUX1;DAPK3;COCH;DHX36;DIAPH1;DLG1;DLG4;DVL2;EFNA5;UNC13D;EPB42;DMTN;PTK2B;FBLN1;ALDOA;NTNG1;RIMS1;RAB21;UNC13A;KANK1;CYFIP1;DNMBP;CUX2;NEDD4L;FN1;MACF1;PLXNB2;FYN;BAMBI;SS18L1;HCK;HEXB;APOA1;ICAM1;ILK;ITGA7;ITGB2;RHOB;RHOC;LIMS1;TACSTD2;MKLN1;PALM2AKAP2;MYH9;MYO10;NEDD9;P2RY1;P4HB;PAFAH1B1;PALM;PRKN;F11R;WDPCP;ENPP2;BCL11A;PLXNA2;PALMD;TBCCD1;CARMIL1;PRPF40A;LIMS2;PARVA;FGD6;ARHGAP15;RCC2;ATP10A;STRIP2;PTK2;ERMN;PREX1;CPNE5;RHOU;S100B;CAPRIN2;SRC;SYT1;CNTN2;CFAP410;ACTN4;CAMK2B;CAPZB;ANKRD27;RASAL1;ARHGEF7;FGD3;LIMD1;FMNL3;PLXNA4;MYADM;MAP3K13;CD44;CUL7;RHOBTB1;CDC42
GO:0045785,BP,positive regulation of cell adhesion,423,134,0.002366981,1,ADA;PTPRU;ARPC2;CDH13;CDK6;FLOT1;CXCL13;PDPN;MALT1;FERMT2;TRIOBP;CORO1A;TNFRSF13C;CCR7;COL16A1;MAP3K8;COL26A1;CRKL;CSK;PIK3R6;FLCN;UNC13D;EMP2;DMTN;AKT1;ETS1;PTK2B;ZBTB1;KIFAP3;FN1;FYN;IL4I1;DISC1;GLI3;ANK3;HLA-DMB;HLA-DPB1;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-E;HLA-G;APOA1;ICAM1;FMN1;IGF2;IL2;IL12A;IL12RB1;ILK;ITGAV;ITGB2;ITPKB;JAK1;JAK2;JUP;VWC2;LCK;LGALS1;LIMS1;ARL2;LYN;ZFHX3;MYO10;NCK1;ATM;NEDD9;NID1;NODAL;NPY2R;P4HB;F11R;LEF1;GP6;PDGFB;APBB1IP;EPB41L4B;KIF26B;PPP3CA;CARMIL1;FERMT1;LIMS2;PRKCA;PRKCE;PRKCZ;CCL28;ZMIZ1;BAD;PREX1;SELENOK;PLEKHA2;NOD2;SFRP1;BMI1;SLC7A1;SOX12;SRC;TEK;TGM2;THY1;TNF;GFUS;CCR2;UTRN;YES1;ZAP70;ZBTB16;NDNF;NR4A3;PDCD1LG2;CARD11;FRMD5;RUNX1;RUNX3;ADAM19;FADD;IL1RL2;LDB1;ARHGEF7;WNT3A;SART1;DNAJA3;CD1D;MYADM;CD4;CD5;CYTH3;MAP4K4;CD36;BAG4;CD44;CD47;CD81;PIEZO1;CDC42
GO:0007188,BP,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,226,73,0.002641605,1,RAMP1;GNA13;ADCY2;ADCY3;ADCY5;CHGA;AKAP13;GPR176;HRH3;CHRM2;CHRM3;CHRM5;ADCY8;ADCY9;CNR1;CNR2;ADORA1;ADRB3;S1PR3;ADGRL1;FSHR;GABBR1;GALR1;GHRHR;GPR78;GNA12;GNA15;GNAL;GNAO1;GNAQ;GNAS;GNAZ;GPR6;ADGRD1;GRM1;GRM2;GRM3;GRM4;GRM7;GRM8;GSK3A;APLP1;HTR4;LHCGR;MTNR1A;NME2;NPR3;NPY2R;ATP2B4;OPRD1;OPRK1;OPRM1;P2RY1;PALM;PDE2A;PDE4B;PDE4D;S1PR5;PRKACB;PRKCA;PTGER4;PTHLH;PTH1R;ADGRB1;ADGRB2;ADGRB3;RIC8A;SCTR;TSHR;VIP;VIPR2;CACNA1D;CALCB;GALR2;GNA14
GO:0002861,BP,regulation of inflammatory response to antigenic stimulus,41,18,0.002737558,1,PARK7;CCR7;CNR1;NLRP6;FYN;GPX1;HCK;HLA-DRB1;HLA-E;LYN;FURIN;NOD2;SRC;TNF;C3;YES1;RHBDF2;CD81
GO:1903724,BP,positive regulation of centriole elongation,4,4,0.00301998,1,CEP120;CENPJ;CEP295;VPS4B
GO:0050804,BP,modulation of chemical synaptic transmission,424,146,0.003386116,1,DNM1L;CDH11;AKAP9;FLOT1;CACNG3;BAIAP2;SCGN;FAM107A;NISCH;PACSIN2;CHRNA5;ADCY8;CHRNB4;CNR1;CNR2;ADORA1;CNTN4;DCC;DLG4;DNM1;EGFR;EGR2;EIF4EBP2;EPHB2;PTK2B;FGF14;DLGAP4;NTNG1;NLGN1;CLSTN1;SHANK2;RIMS1;UNC13A;ERC1;CYFIP1;SYT11;CUX2;CRTC1;NCS1;SLC7A11;FYN;RNF19A;PNKD;SIPA1L1;ERC2;GHSR;NSG1;DISC1;GRID1;GRIK1;ABR;GRIK4;GRIN1;GRIN2A;GRIN2B;GRM1;GRM2;GRM3;GRM4;GRM7;GRM8;HRAS;APOE;ITPR3;JAK2;KCNJ10;KIF5B;KRAS;SHISA6;ARRB2;MAP1B;MAPT;NGF;NPTX2;NPY2R;ROR2;P2RX3;P2RY1;PRKN;SHANK1;SSH1;PPP3CA;SYBU;PRKAR1B;PRKAR2B;PRKCE;PRKCG;PRKCZ;MAPK1;PSEN1;CELF4;JPH3;ABHD6;ADGRB1;SORCS2;BEGAIN;PTPRS;BCHE;RAP1A;RAP1B;RASGRF1;CACNG8;CPLX3;RGS4;BCR;BDNF;S100B;SCTR;CLSTN2;SLC1A3;SLC6A1;SLC8A3;SRC;STAR;SYT1;CNTN2;NR2E1;TNF;CCR2;SHISA7;VGF;WNT7A;CA7;CACNA1A;CACNA1B;CACNB2;CALB1;MCTP1;CALM1;PRRT1;CAMK2B;SYN3;DTNBP1;DGKZ;SHANK3;SQSTM1;BAIAP3;WNT3A;USP8;NEURL1;DGKI;DLGAP2;DLGAP1;SLC4A8;CD38;SNCAIP;CLSTN3;CDH1
GO:0072578,BP,neurotransmitter-gated ion channel clustering,13,9,0.003575793,1,DLG4;NLGN1;SLC7A11;APOE;LHFPL4;SHISA6;SSH1;SHISA7;SHANK3
GO:0001913,BP,T cell mediated cytotoxicity,46,17,0.003586543,1,RIPK3;CTSH;EMP2;GZMM;HLA-DRA;HLA-DRB1;HLA-E;HLA-F;HLA-G;IL12A;IL12RB1;AZGP1;NECTIN2;RAB27A;FADD;CD1D;CD1E
